artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Gen Hoshino,Comedy,Comedy,73,230666,false,0,7,0,5,1,-6,7,0,0,1,0,0,0,0,0,4,0,7,87,9,4,acoustic
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,false,0,4,0,2,1,-17,2,1,0,1,0,9,0,0,0,1,0,3,77,5,4,acoustic
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,false,0,4,0,4,0,-9,7,1,0,1,0,2,0,0,0,1,0,1,76,3,4,acoustic
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,false,0,3,0,1,0,-18,5,1,0,0,0,9,0,0,0,1,0,1,181,7,3,acoustic
Chord Overstreet,Hold On,Hold On,82,198853,false,0,6,0,4,2,-9,7,1,0,1,0,5,0,0,0,1,0,2,119,9,4,acoustic
Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,false,0,7,0,5,6,-8,8,1,0,1,0,3,0,0,0,2,0,7,98,0,4,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,false,0,4,0,1,2,-8,8,1,0,0,0,9,0,0,0,1,0,1,141,3,3,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,false,0,7,0,4,11,-9,3,1,0,0,0,6,0,0,0,1,0,7,151,0,4,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,false,0,6,0,4,0,-8,7,1,0,0,0,3,0,0,0,2,0,7,130,1,4,acoustic
Ross Copperman,Hunger,Hunger,56,205594,false,0,4,0,6,1,-6,8,1,0,0,0,4,0,0,0,1,0,2,78,9,4,acoustic
Zack Tabudlo,Episode,Give Me Your Forever,74,244800,false,0,6,0,4,8,-8,1,1,0,0,0,3,0,0,0,1,0,3,99,9,4,acoustic
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,false,0,5,0,3,4,-10,1,1,0,0,0,7,0,0,0,1,0,1,133,4,3,acoustic
Dan Berk,Solo,Solo,52,198712,false,0,5,0,3,7,-9,2,0,0,0,0,7,0,0,0,1,0,6,124,2,4,acoustic
Anna Hamilton,Bad Liar,Bad Liar,62,248448,false,0,7,0,2,3,-6,4,1,0,0,0,8,0,0,0,1,0,2,87,1,4,acoustic
Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,false,0,8,0,8,2,-6,1,1,0,0,0,1,0,0,0,1,0,4,120,0,4,acoustic
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,false,0,5,0,6,4,-7,9,1,0,0,0,2,0,0,0,2,0,2,83,5,3,acoustic
Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,false,0,7,0,1,2,-18,1,1,0,0,0,8,0,0,0,1,0,4,110,2,4,acoustic
Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,false,0,8,0,1,10,-18,1,0,0,0,0,7,0,0,0,1,0,6,91,8,4,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,false,0,6,0,4,0,-8,7,1,0,0,0,3,0,0,0,2,0,7,130,1,4,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,false,0,7,0,3,3,-8,4,1,0,0,0,8,0,0,0,1,0,3,107,9,4,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,false,0,7,0,4,11,-9,3,1,0,0,0,6,0,0,0,1,0,7,151,0,4,acoustic
Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,false,0,7,0,4,0,-8,7,1,0,0,0,7,0,0,0,4,0,6,90,0,4,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,false,0,4,0,1,2,-8,8,1,0,0,0,9,0,0,0,1,0,1,141,3,3,acoustic
Jason Mraz,Coffee Moment,93 Million Miles,0,216386,false,0,6,0,5,3,-10,3,1,0,0,0,5,0,0,0,1,0,5,140,2,4,acoustic
Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,231266,false,0,8,0,7,5,-4,8,0,0,0,0,4,0,0,0,2,0,8,98,0,4,acoustic
Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,false,0,8,0,5,9,-9,6,0,0,0,0,8,0,0,0,2,0,3,120,1,4,acoustic
Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,false,0,6,0,3,5,-9,2,1,0,0,0,8,0,0,0,1,0,7,145,4,4,acoustic
Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,false,0,6,0,4,4,-6,8,0,0,0,0,0,0,0,0,1,0,5,143,8,4,acoustic
Jason Mraz,Christmas Time,Winter Wonderland,0,131760,false,0,6,0,3,5,-9,2,1,0,0,0,8,0,0,0,1,0,7,145,4,4,acoustic
Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,false,0,6,0,3,5,-9,2,1,0,0,0,8,0,0,0,1,0,7,145,4,4,acoustic
Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,false,0,6,0,3,5,-9,2,1,0,0,0,8,0,0,0,1,0,7,145,4,4,acoustic
Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,false,0,6,0,3,5,-9,2,1,0,0,0,8,0,0,0,1,0,7,145,4,4,acoustic
Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,false,0,6,0,5,6,-8,2,1,0,0,0,4,0,0,0,1,0,6,202,0,4,acoustic
Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,259558,false,0,3,0,2,0,-11,8,1,0,0,0,8,0,0,0,1,0,2,165,4,4,acoustic
Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0,259558,false,0,3,0,2,0,-11,8,1,0,0,0,8,0,0,0,1,0,2,165,4,4,acoustic
Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0,259558,false,0,3,0,2,0,-11,8,1,0,0,0,8,0,0,0,1,0,2,165,4,4,acoustic
KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0,257493,false,0,4,0,2,6,-10,7,0,0,0,0,9,0,0,0,1,0,2,85,3,4,acoustic
Brandi Carlile,rainy day indie,Throwing Good After Bad,0,247791,false,0,5,0,1,2,-12,9,1,0,1,1,0,0,0,0,1,0,3,138,0,4,acoustic
Brandi Carlile,Coffee Moment,This Time Tomorrow,0,206267,false,0,6,0,3,10,-10,0,1,0,0,0,8,0,0,0,1,0,4,91,6,4,acoustic
KT Tunstall,sadsadchristmas,Lonely This Christmas,0,257493,false,0,4,0,2,6,-10,7,0,0,0,0,9,0,0,0,1,0,2,85,3,4,acoustic
Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0,306794,false,0,5,0,5,7,-5,3,1,0,0,0,3,0,0,0,1,0,3,151,8,4,acoustic
Brandi Carlile,Mellow Adult Pop,When You're Wrong,0,266960,false,0,6,0,3,10,-10,2,0,0,0,0,8,0,0,0,1,0,1,88,0,4,acoustic
Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,false,0,5,0,7,6,-3,4,1,0,0,0,3,0,0,0,3,0,5,148,2,4,acoustic
Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,230098,false,0,6,0,7,1,-6,6,1,0,0,0,2,0,0,0,1,0,7,172,1,4,acoustic
Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,213098,false,0,6,0,2,0,-10,4,0,0,0,0,9,0,0,0,1,0,3,107,9,4,acoustic
Motohiro Hata,Documentary,透明だった世界,61,232360,false,0,4,0,9,0,-4,2,1,0,1,0,1,0,0,0,7,0,6,168,2,4,acoustic
Andrew Belle,Black Bear,Pieces,60,241119,false,0,5,0,7,6,-5,9,0,0,0,0,1,0,0,0,1,0,3,137,0,4,acoustic
Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,false,0,4,0,4,5,-8,7,1,0,0,0,8,0,0,0,3,0,6,73,1,3,acoustic
Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,171543,false,0,6,0,3,6,-9,4,0,0,0,0,9,0,0,0,1,0,4,149,0,4,acoustic
Andrew Belle,Black Bear,The Enemy,62,286865,false,0,5,0,9,1,-5,2,1,0,0,0,1,0,0,0,1,0,3,122,0,4,acoustic
Aron Wright,Build It Better,Build It Better,51,234473,false,0,5,0,3,4,-13,0,1,0,0,0,9,0,2,0,1,0,2,95,0,4,acoustic
Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0,216000,false,0,5,0,4,0,-9,4,1,0,0,0,7,0,0,0,1,0,5,80,1,4,acoustic
Sara Bareilles,Little Voice,Gravity,67,232760,false,0,3,0,3,0,-10,4,1,0,0,0,8,0,0,0,1,0,2,169,0,4,acoustic
Chord Overstreet,What's Left of You,What's Left of You,57,178600,true,0,7,0,5,0,-6,5,1,0,0,0,6,0,0,0,1,0,3,118,0,4,acoustic
Zack Tabudlo,Pano,Pano,75,254400,false,0,4,0,5,3,-7,0,1,0,0,0,9,0,0,0,2,0,4,174,8,3,acoustic
Andrew Belle,The Daylight EP,Sky's Still Blue,62,244320,false,0,4,0,8,6,-5,4,0,0,0,0,1,0,0,0,1,0,2,171,9,4,acoustic
Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,false,0,6,0,3,1,-15,3,1,0,0,1,0,0,8,0,1,0,4,96,6,4,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,false,0,7,0,3,2,-8,2,1,0,0,0,7,0,0,0,1,0,4,80,1,4,acoustic
Tim Halperin,Covers,Always Be My Baby,62,181852,false,0,6,0,3,4,-10,3,1,0,0,0,8,0,0,0,1,0,3,139,9,4,acoustic
Canyon City,Midnight Waves,Alone with You,58,186584,false,0,5,0,3,1,-12,6,1,0,0,0,8,0,0,0,1,0,2,86,7,4,acoustic
Aaron Espe,Making All Things New,Making All Things New,65,159600,false,0,8,0,4,0,-11,4,1,0,0,0,9,0,0,0,1,0,5,100,0,4,acoustic
